V_mag,V_angle,Plane_Angle,R_legs,,,,
2,15,0,0,,,,
2,20,0,0,,,,
2,25,0,0,,,,
2,30,0,0.25,0.75,0,0,0.25
2,35,0,0,,,,#DIV/0!
2,40,0,0.25,0,0,0.75,0.25
2,45,0,1,,,,#DIV/0!
2,50,0,1,,,,#DIV/0!
2,55,0,1,,,,#DIV/0!
2,60,0,1,,,,#DIV/0!
2,65,0,0.667,1,0.5,0.5,0.666666666666667
2,70,0,1,,,,#DIV/0!
2,75,0,0.917,1,0.75,1,0.916666666666667
2,80,0,0.75,,,,#DIV/0!
2,85,0,0.833,0.75,0.75,1,0.833333333333333
2,90,0,0.833,0.75,0.75,1,0.833333333333333
2.5,15,0,0,,,,#DIV/0!
2.5,20,0,0.667,1,1,0,0.666666666666667
2.5,25,0,1,,,,#DIV/0!
2.5,30,0,1,,,,#DIV/0!
2.5,35,0,1,,,,#DIV/0!
2.5,40,0,1,,,,#DIV/0!
2.5,45,0,1,,,,#DIV/0!
2.5,50,0,1,,,,#DIV/0!
2.5,55,0,1,,,,#DIV/0!
2.5,60,0,1,,,,#DIV/0!
2.5,65,0,1,,,,#DIV/0!
2.5,70,0,0.917,1,0.75,1,0.916666666666667
2.5,75,0,0.75,0.75,0.75,,0.75
2.5,80,0,0.75,0.75,0.75,0.75,0.75
2.5,85,0,0.875,0.75,1,,0.875
2.5,90,0,0.75,,,,#DIV/0!
3,15,0,0,,,,#DIV/0!
3,20,0,0,,,,#DIV/0!
3,25,0,0,,,,#DIV/0!
3,30,0,1,,,,#DIV/0!
3,35,0,1,,,,#DIV/0!
3,40,0,1,,,,#DIV/0!
3,45,0,1,,,,#DIV/0!
3,50,0,1,,,,#DIV/0!
3,55,0,1,,,,#DIV/0!
3,60,0,1,,,,#DIV/0!
3,65,0,1,,,,#DIV/0!
3,70,0,0.917,1,0.75,1,0.916666666666667
3,75,0,0.833,1,0.75,0.75,0.833333333333333
3,80,0,0.75,,,,#DIV/0!
3,85,0,0.833,1,0.75,0.75,0.833333333333333
3,90,0,0.833,0.75,0.75,1,0.833333333333333
3.5,15,0,0.33,,,,#DIV/0!
3.5,20,0,0.33,,,,#DIV/0!
3.5,25,0,0,,,,#DIV/0!
3.5,30,0,0.33,,,,#DIV/0!
3.5,35,0,0.833,0.75,0.75,1,0.833333333333333
3.5,40,0,1,,,,#DIV/0!
3.5,45,0,1,,,,#DIV/0!
3.5,50,0,1,,,,#DIV/0!
3.5,55,0,1,,,,#DIV/0!
3.5,60,0,1,,,,#DIV/0!
3.5,65,0,1,,,,#DIV/0!
3.5,70,0,1,,,,#DIV/0!
3.5,75,0,1,,,,#DIV/0!
3.5,80,0,0.75,,,,#DIV/0!
3.5,85,0,1,,,,#DIV/0!
3.5,90,0,1,,,,#DIV/0!
4,15,0,0,,,,#DIV/0!
4,20,0,0,,,,#DIV/0!
4,25,0,0,,,,#DIV/0!
4,30,0,0,,,,#DIV/0!
4,35,0,0.33,,,,#DIV/0!
4,40,0,0.66,,,,#DIV/0!
4,45,0,1,,,,#DIV/0!
4,50,0,1,,,,#DIV/0!
4,55,0,1,,,,#DIV/0!
4,60,0,1,,,,#DIV/0!
4,65,0,1,,,,#DIV/0!
4,70,0,1,,,,#DIV/0!
4,75,0,0.667,1,0.5,0.5,0.666666666666667
4,80,0,0.917,1,0.75,1,0.916666666666667
4,85,0,0.583,0.5,0.75,0.5,0.583333333333333
4,90,0,1,,,,#DIV/0!
